title;link;usd_price;grn_price;place
Shuttle 2.0 D-4D 8AT (177 к.с.) L2;https://auto.ria.com/newauto/auto-toyota-proace-verso-1778546.html;38 630 $;1 371 750 грн;Запорожье
Comfort 2.8D AT (200 к.с.) 4WD;https://auto.ria.com/newauto/auto-toyota-land-cruiser-prado-1883531.html;58 000 $;2 059 580 грн;Одесса
Premium 2.5h e-CVT (243 к.с.) AWD;https://auto.ria.com/newauto/auto-toyota-highlander-1886536.html;54 315 $;1 928 710 грн;Харьков
Elegance 2.8D AT (200 к.с.) 4WD;https://auto.ria.com/newauto/auto-toyota-land-cruiser-prado-1886562.html;45 054 $;1 599 870 грн;Харьков
Live 1.6 MT (132 к.с.);https://auto.ria.com/newauto/auto-toyota-corolla-1886534.html;18 933 $;672 305 грн;Харьков
Business 1.6 D-4D 6MT (116 к.с.);https://auto.ria.com/newauto/auto-toyota-proace-1886530.html;17 991 $;638 850 грн;Житомир
Active 1.5 Hybrid e-CVT (116 к.с.);https://auto.ria.com/newauto/auto-toyota-yaris-cross-1886535.html;22 796 $;809 480 грн;Харьков
Premium 2.0 Dual VVT-i CVT (173 к.с.) AWD;https://auto.ria.com/newauto/auto-toyota-rav4-1886557.html;35 128 $;1 247 400 грн;Хмельницкий
Comfort 2.8D AT (200 к.с.) 4WD;https://auto.ria.com/newauto/auto-toyota-land-cruiser-prado-1886359.html;48 260 $;1 713 707 грн;Киев
Premium+ 2.5 Hybrid e-CVT (218 к.с.);https://auto.ria.com/newauto/auto-toyota-camry-1777540.html;42 277 $;1 501 250 грн;Запорожье
Active 2.0 Dual VVT-i CVT (173 к.с.);https://auto.ria.com/newauto/auto-toyota-rav4-1884030.html;26 792 $;26 792 $;Хмельницкий
Business 1.5 D-4D MT (102 к.с.) L2;https://auto.ria.com/newauto/auto-toyota-proace-city-1883915.html;17 991 $;638 847 грн;Хмельницкий
GR Sport 3.5 AT (415 к.с.) AWD;https://auto.ria.com/newauto/auto-toyota-land-cruiser-300-1883482.html;82 927 $;2 944 720 грн;Одесса
Prestige 3.5 AT (415 к.с.) AWD;https://auto.ria.com/newauto/auto-toyota-land-cruiser-300-1883676.html;208 616 $;7 407 963 грн;Киев
4.0 MT (228 к.с.) 4x4;https://auto.ria.com/newauto/auto-toyota-land-cruiser-79-1885154.html;299 999 $;10 652 964 грн;Киев
Shuttle 2.0 D-4D 8AT (177 к.с.) L2;https://auto.ria.com/newauto/auto-toyota-proace-verso-1885891.html;41 317 $;1 467 180 грн;Хмельницкий
Active 2.0 Dual VVT-i CVT (173 к.с.);https://auto.ria.com/newauto/auto-toyota-rav4-1884036.html;29 466 $;1 046 331 грн;Хмельницкий
Active 2.0 Dual VVT-i CVT (173 к.с.);https://auto.ria.com/newauto/auto-toyota-rav4-1886187.html;30 910 $;1 097 600 грн;Киев
Active 2.0 Dual VVT-i CVT (173 к.с.);https://auto.ria.com/newauto/auto-toyota-rav4-1883932.html;26 554 $;942 915 грн;Хмельницкий
Premium 2.5h e-CVT (243 к.с.) AWD;https://auto.ria.com/newauto/auto-toyota-highlander-1870196.html;62 596 $;2 222 781 грн;Запорожье
Active 1.2 D-4T Multidrive S (116 к.с.);https://auto.ria.com/newauto/auto-toyota-c-hr-1885968.html;24 530 $;871 065 грн;Одесса
Active 1.5i Hybrid e-CVT (116 к.с.);https://auto.ria.com/newauto/auto-toyota-yaris-1883397.html;23 800 $;845 138 грн;Одесса
Comfort 2.5 D-4S АТ (207 к.с.);https://auto.ria.com/newauto/auto-toyota-camry-1886356.html;29 832 $;1 059 318 грн;Киев
Live 2.0 Dual VVT-i CVT (173 к.с.);https://auto.ria.com/newauto/auto-toyota-rav4-1885006.html;24 042 $;853 730 грн;Ужгород
Comfort 2.8D AT (200 к.с.) 4WD;https://auto.ria.com/newauto/auto-toyota-land-cruiser-prado-1884976.html;40 300 $;1 431 045 грн;Ужгород
Premium 3.5i Dual VVT-iW AT (249 к.с.) DTC AWD-S;https://auto.ria.com/newauto/auto-toyota-highlander-1884960.html;51 534 $;1 830 475 грн;Ужгород
Comfort+ 4.0 Dual VVT-i AT (282 к.с.) 4WD;https://auto.ria.com/newauto/auto-toyota-land-cruiser-prado-1884966.html;38 663 $;1 372 930 грн;Ужгород
Comfort 2.5 D-4S АТ (207 к.с.);https://auto.ria.com/newauto/auto-toyota-camry-1884946.html;25 072 $;890 310 грн;Ужгород
Prestige 4.0 Dual VVT-i AT (282 к.с.) 4WD;https://auto.ria.com/newauto/auto-toyota-land-cruiser-prado-1884973.html;42 825 $;1 520 725 грн;Ужгород
Prestige+ 2.8D AT (200 к.с.) 4WD;https://auto.ria.com/newauto/auto-toyota-land-cruiser-prado-1884980.html;52 531 $;1 868 530 грн;Ужгород
